,Name,Platform,Date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Total_Shipped,game_id,developer
5272,Madden NFL 97,PS,1996.0,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32,,1.32,65517,EA Tiburon
5277,Cars 2,DS,2011.0,Racing,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32,,1.25,65518,Avalanche Software
5297,TNN Motor Sports Hardcore 4x4,PS,1996.0,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31,,1.31,65521,Gremlin Interactive
5300,IHRA Drag Racing 2,PS2,2002.0,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31,,1.31,65522,Bethesda Softworks
5311,[Prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,,1.31,65525,Radical Entertainment
5319,Madagascar,PS2,2005.0,Platform,Activision,0.78,0.45,0.0,0.07,1.31,,1.31,65527,Toys for Bob
5326,Rugrats Studio Tour,PS,1999.0,Adventure,THQ,0.57,0.67,0.0,0.07,1.31,,1.31,65528,n-Space
5327,LEGO Battles,DS,2009.0,Strategy,Warner Bros. Interactive Entertainment,0.81,0.38,0.0,0.12,1.31,,1.29,65529,Hellbent Games
5328,Pitfall II: Lost Caverns,2600,1983.0,Platform,Activision,1.22,0.07,0.0,0.02,1.31,,1.31,65530,Activision
5332,Turok: Evolution,PS2,2002.0,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,,1.31,65531,Acclaim Studios Austin
5337,High School Musical 3: Senior Year DANCE!,Wii,2008.0,Misc,Disney Interactive Studios,0.68,0.49,0.0,0.13,1.31,,1.29,65532,Page 44 Studios
5341,Gold's Gym: Cardio Workout,Wii,2008.0,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31,,,65533,Rocket Company
5345,Adventure,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,65535,Atari
5347,Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,,,65536,Konami
5352,NBA Live 07,PS2,2006.0,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,,1.3,65538,EA Canada
5361,SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,,,65540,SCEE London Studio
5362,EA Playground,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3,,1.29,65541,EA Canada
5364,Test Drive 5,PS,1997.0,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,,,65542,Pitbull Syndicate
5366,Romancing SaGa 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,,1.3,65543,SquareSoft
5375,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,,1.27,65544,EA Vancouver
5378,Digimon World,PS,1999.0,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,,,65545,Bandai
5379,Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3,8.0,1.0,65546,Crystal Dynamics
5392,Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29,6.0,1.56,65548,Good-Feel
5393,Mega Man Battle Network 3 Blue / White Version,GBA,2002.0,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,,,65549,Capcom
5394,FIFA Street,PS3,2012.0,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29,,,65550,EA Canada
5398,Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,1.25,65551,Capcom
5420,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,,1.29,65554,Pocket Studios
5421,Transformers,PS2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,,1.29,65555,Melbourne House
5422,Guitar Hero: Aerosmith,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,0.1,1.29,,1.27,65556,Vicarious Visions
5428,Mystery Case Files: MillionHeir,DS,2008.0,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29,,1.18,65557,Big Fish Games
5429,Valkyria Chronicles,PS3,2008.0,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29,9.8,1.0,65558,Sega
5434,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,,1.29,65559,Rockstar San Diego
5435,Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,,1.28,65560,Snowblind Studios
5444,Imagine: Wedding Designer,DS,2008.0,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28,,1.28,65562,Virtual Toys / Lexis Numerique
5445,Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,6.3,1.2,65563,Kojima Productions
